club,attacking_assists,attacking_corner_taken,attacking_offsides,attacking_dribbles,defending_balls_recoverd,defending_tackles,defending_t_won,defending_clearance_attempted,disciplinary_fouls_committed,disciplinary_fouls_suffered,disciplinary_red,disciplinary_yellow,goals_goals,goals_penalties,attempts_on_target,attempts_off_target,attempts_blocked,distributon_pass_accuracy,distributon_cross_accuracy
Ajax,1.5454545454545454,3.4545454545454546,1.4545454545454546,8.727272727272727,18.166666666666668,5.944444444444445,2.5555555555555554,4.611111111111111,7.3125,4.6875,0.9375,0.0,3.0,0.14285714285714285,3.0588235294117645,3.0588235294117645,1.588235294117647,85.45625,19.0625
Atalanta,1.2222222222222223,1.1111111111111112,1.2222222222222223,6.333333333333333,14.736842105263158,3.4210526315789473,1.631578947368421,5.2631578947368425,3.5789473684210527,3.8421052631578947,0.47368421052631576,0.0,1.2,0.0,1.875,1.75,1.4375,78.92777777777778,22.22222222222222
Atlético,1.4,3.0,1.8,9.4,23.7,6.6,2.8,9.5,6.95,6.15,1.25,0.2,1.5,0.16666666666666666,1.5,2.611111111111111,1.2222222222222223,76.52,13.65
Barcelona,1.0,0.0,1.0,0.0,11.75,4.45,1.9,2.35,4.368421052631579,3.4210526315789473,0.6842105263157895,0.05263157894736842,1.0,0.0,0.55,1.45,1.0,86.825,9.4
Bayern,2.1818181818181817,1.8181818181818181,2.272727272727273,13.181818181818182,23.105263157894736,4.842105263157895,2.1052631578947367,4.526315789473684,5.75,4.7,0.6,0.0,4.285714285714286,0.42857142857142855,4.117647058823529,4.470588235294118,2.7058823529411766,87.53157894736842,15.947368421052632
Benfica,2.0,3.8,0.8,10.2,20.526315789473685,7.578947368421052,3.8421052631578947,10.894736842105264,6.111111111111111,6.777777777777778,1.0555555555555556,0.0,2.1666666666666665,0.16666666666666666,1.9444444444444444,2.0,1.1111111111111112,77.325,14.15
Beşiktaş,2.0,9.0,0.0,4.0,12.0,4.173913043478261,1.9565217391304348,3.5217391304347827,3.5,3.4444444444444446,0.8888888888888888,0.1111111111111111,1.0,0.3333333333333333,0.8,1.8,0.6666666666666666,79.07826086956521,16.47826086956522
Chelsea,1.4545454545454546,2.909090909090909,0.2727272727272727,7.090909090909091,18.318181818181817,4.363636363636363,2.0454545454545454,4.5,7.052631578947368,4.526315789473684,0.6842105263157895,0.0,1.6153846153846154,0.15384615384615385,2.7142857142857144,3.0,2.238095238095238,85.825,28.958333333333332
Club Brugge,1.0,5.2,3.2,6.8,17.466666666666665,4.466666666666667,1.8666666666666667,7.4,4.769230769230769,4.153846153846154,0.6923076923076923,0.0,2.5,0.0,1.8461538461538463,1.3846153846153846,1.3076923076923077,77.46666666666667,19.933333333333334
Dortmund,1.6,2.6,2.0,8.2,13.428571428571429,2.761904761904762,0.8571428571428571,3.4761904761904763,3.3684210526315788,2.210526315789474,0.42105263157894735,0.10526315789473684,2.5,0.5,1.6111111111111112,1.8888888888888888,1.1666666666666667,80.6421052631579,21.94736842105263
Dynamo Kyiv,1.0,10.0,0.0,8.0,12.473684210526315,3.6842105263157894,1.4210526315789473,5.368421052631579,3.375,4.875,0.625,0.0,1.0,0.0,1.2307692307692308,1.3846153846153846,1.0,77.52105263157895,9.947368421052632
Inter,1.2,0.0,1.4,5.2,17.0,6.055555555555555,2.611111111111111,6.388888888888889,4.777777777777778,4.333333333333333,0.6666666666666666,0.1111111111111111,1.2857142857142858,0.0,2.2222222222222223,3.2222222222222223,1.9444444444444444,83.48421052631579,20.736842105263158
Juventus,1.2,1.8,0.4,4.4,16.61904761904762,4.380952380952381,1.9047619047619047,5.428571428571429,3.95,4.05,0.5,0.0,1.5714285714285714,0.2857142857142857,2.176470588235294,3.176470588235294,0.8235294117647058,84.745,17.65
Leipzig,1.5,2.125,1.125,3.375,13.0,4.45,2.05,4.6,5.105263157894737,3.263157894736842,0.6842105263157895,0.05263157894736842,3.0,0.4,2.125,1.875,1.4375,78.15555555555555,20.61111111111111
Lille,1.3333333333333333,0.0,1.0,7.666666666666667,17.38888888888889,5.055555555555555,2.7222222222222223,6.888888888888889,4.105263157894737,5.105263157894737,1.263157894736842,0.0,2.0,0.5,1.2941176470588236,2.176470588235294,1.8235294117647058,77.61666666666666,18.77777777777778
Liverpool,1.6428571428571428,6.571428571428571,1.7142857142857142,11.928571428571429,24.083333333333332,5.166666666666667,2.4583333333333335,6.291666666666667,6.3478260869565215,5.043478260869565,0.6521739130434783,0.0,2.727272727272727,0.09090909090909091,3.7,3.65,2.8,81.916,12.08
Malmö,1.0,0.0,0.0,19.0,12.294117647058824,4.235294117647059,1.8823529411764706,8.411764705882353,4.625,3.75,0.9375,0.0625,1.0,0.0,0.5833333333333334,1.8333333333333333,0.5,75.08888888888889,12.166666666666666
Manchester City,2.090909090909091,7.545454545454546,3.0,13.090909090909092,21.333333333333332,4.904761904761905,1.8095238095238095,5.333333333333333,6.0,5.619047619047619,1.0,0.047619047619047616,2.5454545454545454,0.18181818181818182,3.5789473684210527,3.1052631578947367,3.473684210526316,89.17999999999999,13.8
Manchester United,2.75,3.25,1.5,4.0,13.208333333333334,3.5416666666666665,1.7083333333333333,5.458333333333333,3.8095238095238093,4.095238095238095,0.8095238095238095,0.047619047619047616,1.7142857142857142,0.0,1.9047619047619047,1.380952380952381,0.9047619047619048,82.17272727272727,17.727272727272727
Milan,1.0,0.6,1.4,9.2,13.55,3.7,1.7,5.9,3.65,4.05,0.8,0.05,1.0,0.0,0.8421052631578947,1.2105263157894737,0.47368421052631576,80.275,22.75
Paris Saint-Germain,1.75,4.75,2.5,18.25,16.470588235294116,6.529411764705882,2.9411764705882355,7.9411764705882355,4.75,6.5625,1.1875,0.0,3.0,0.4,2.7857142857142856,2.2142857142857144,1.5714285714285714,86.0611111111111,10.277777777777779
Porto,1.0,0.3333333333333333,0.6666666666666666,3.3333333333333335,13.277777777777779,4.444444444444445,1.5,6.277777777777778,5.529411764705882,4.411764705882353,1.0,0.11764705882352941,1.0,0.5,1.5625,2.0,1.5625,78.81764705882354,15.588235294117647
Real Madrid,2.1,2.1,1.9,16.5,24.476190476190474,7.904761904761905,3.619047619047619,8.952380952380953,6.666666666666667,8.277777777777779,1.3888888888888888,0.0,4.666666666666667,0.5,3.8333333333333335,3.4444444444444446,2.6666666666666665,85.83888888888889,19.333333333333332
Salzburg,1.2,4.4,1.6,9.8,19.42105263157895,6.105263157894737,2.3157894736842106,8.0,8.0625,5.375,0.9375,0.0,1.6666666666666667,0.5,2.466666666666667,1.8,1.6666666666666667,70.25333333333333,14.733333333333333
Sevilla,1.0,2.6666666666666665,0.3333333333333333,5.666666666666667,14.31578947368421,2.6842105263157894,0.9473684210526315,3.3684210526315788,4.052631578947368,4.473684210526316,1.0526315789473684,0.10526315789473684,1.25,0.5,1.4375,1.9375,1.0625,81.42777777777778,22.61111111111111
Shakhtar Donetsk,1.0,2.0,0.0,2.5,10.45,2.05,0.7,4.1,3.2,2.55,0.25,0.0,2.0,0.0,1.105263157894737,1.9473684210526316,1.2105263157894737,86.935,11.35
Sheriff,1.6666666666666667,3.0,0.6666666666666666,7.0,14.125,6.3125,2.375,11.4375,4.571428571428571,3.5,0.9285714285714286,0.0,1.4,0.0,1.4285714285714286,1.7142857142857142,0.7142857142857143,74.94666666666667,12.733333333333333
Sporting CP,1.5,1.5,0.8333333333333334,7.333333333333333,13.380952380952381,5.523809523809524,2.4285714285714284,5.9523809523809526,4.722222222222222,6.0,0.9444444444444444,0.0,2.0,0.2857142857142857,1.7222222222222223,1.7222222222222223,0.9444444444444444,76.655,14.3
Villarreal,2.2857142857142856,5.714285714285714,1.5714285714285714,10.571428571428571,21.0,5.954545454545454,2.4545454545454546,12.454545454545455,5.2272727272727275,5.090909090909091,1.0909090909090908,0.09090909090909091,1.6666666666666667,0.16666666666666666,2.3684210526315788,2.3684210526315788,1.3157894736842106,78.83,18.9
Wolfsburg,2.0,5.0,0.0,0.5,14.444444444444445,2.8333333333333335,1.5,8.444444444444445,5.176470588235294,3.764705882352941,1.4705882352941178,0.11764705882352941,1.6666666666666667,0.0,0.7333333333333333,1.4666666666666666,0.7333333333333333,73.06842105263158,15.578947368421053
Young Boys,1.0,4.5,0.0,11.25,14.578947368421053,4.2631578947368425,2.0,4.421052631578948,5.117647058823529,2.4705882352941178,0.6470588235294118,0.0,1.1666666666666667,0.0,1.3157894736842106,2.1052631578947367,0.8947368421052632,80.17777777777778,14.555555555555555
Zenit,1.3333333333333333,3.0,1.0,4.333333333333333,12.736842105263158,3.526315789473684,1.6842105263157894,6.7368421052631575,3.125,4.0,0.5625,0.0625,1.2857142857142858,0.14285714285714285,1.5,1.6111111111111112,1.3333333333333333,83.90588235294118,21.529411764705884
